city,state_name,lat,lng,id
Blyn,Washington,48.0130,-122.9897,1840017318
Brinnon,Washington,47.6689,-122.9249,1840017329
Friday Harbor,Washington,48.5324,-123.0655,1840021065
Orchards,Washington,45.6888,-122.5305,1840018519
Purdy,Washington,47.3938,-122.6114,1840023838
Tekoa,Washington,47.2247,-117.0732,1840021135
Tanner,Washington,47.4813,-121.6921,1840037824
Thorp,Washington,47.0656,-120.6709,1840018439
Artondale,Washington,47.3024,-122.6390,1840037617
Liberty Lake,Washington,47.6687,-117.1032,1840037678
Cheney,Washington,47.4901,-117.5789,1840018398
Sammamish,Washington,47.6019,-122.0419,1840021115
Cle Elum,Washington,47.1946,-120.9553,1840018440
Fern Prairie,Washington,45.6370,-122.3963,1840023890
Waverly,Washington,47.3380,-117.2312,1840022291
Lakewood,Washington,47.1628,-122.5299,1840019860
Lake Marcel-Stillwater,Washington,47.6926,-121.9152,1840074241
Central Park,Washington,46.9705,-123.7018,1840017358
Bridgeport,Washington,48.0063,-119.6737,1840018387
Raft Island,Washington,47.3293,-122.6686,1840042039
Larch Way,Washington,47.8429,-122.2527,1840041976
Lake Bosworth,Washington,48.0532,-121.9812,1840037850
Barberton,Washington,45.7136,-122.6114,1840017397
Sekiu,Washington,48.2637,-124.3012,1840025248
Brier,Washington,47.7922,-122.2734,1840018379
Spokane,Washington,47.6671,-117.4330,1840021093
Fall City,Washington,47.5717,-121.9134,1840017342
Pasco,Washington,46.2506,-119.1303,1840019888
Lyman,Washington,48.5230,-122.0634,1840021069
Oakville,Washington,46.8403,-123.2333,1840019848
Dash Point,Washington,47.3131,-122.4153,1840037637
Herron Island,Washington,47.2645,-122.8348,1840041931
West Clarkston-Highland,Washington,46.4023,-117.0630,1840074702
Royal City,Washington,46.9000,-119.6142,1840019816
Venersborg,Washington,45.7860,-122.4721,1840018521
Hoquiam,Washington,46.9863,-123.9023,1840019845
Willapa,Washington,46.6755,-123.6648,1840025262
Quilcene,Washington,47.8369,-122.9058,1840018389
Freeland,Washington,48.0185,-122.5358,1840017317
McCleary,Washington,47.0584,-123.2723,1840019846
Roosevelt,Washington,45.7476,-120.2161,1840136623
Long Beach,Washington,46.3559,-124.0556,1840019880
Trout Lake,Washington,45.9976,-121.5291,1840024000
Coulee Dam,Washington,47.9688,-118.9761,1840022270
Swede Heaven,Washington,48.2829,-121.7136,1840037821
Pine Grove,Washington,48.6502,-118.6834,1840043279
Langley,Washington,48.0337,-122.4084,1840019780
Sedro-Woolley,Washington,48.5113,-122.2321,1840021066
Hatton,Washington,46.7735,-118.8277,1840021133
Entiat,Washington,47.6780,-120.2175,1840019777
Bainbridge Island,Washington,47.6439,-122.5434,1840018409
Auburn,Washington,47.3041,-122.2110,1840018416
Ocean City,Washington,47.0763,-124.1620,1840018444
White Swan,Washington,46.3769,-120.7382,1840018464
Felida,Washington,45.7138,-122.7103,1840037495
Lacey,Washington,47.0458,-122.7934,1840019866
Gold Bar,Washington,47.8566,-121.6927,1840019786
Clyde Hill,Washington,47.6303,-122.2180,1840018413
Upper Elochoman,Washington,46.2403,-123.3247,1840042136
Marcus,Washington,48.6642,-118.0601,1840022273
Canyon Creek,Washington,48.1157,-121.9831,1840074181
Malone,Washington,46.9779,-123.3035,1840026097
Bothell East,Washington,47.8064,-122.1844,1840041892
Yarrow Point,Washington,47.6452,-122.2179,1840022300
Steptoe,Washington,47.0075,-117.3502,1840025258
West Richland,Washington,46.3115,-119.3997,1840021168
Orient,Washington,48.8637,-118.2059,1840025243
Federal Way,Washington,47.3090,-122.3359,1840019826
Pe Ell,Washington,46.5712,-123.2982,1840022321
Deep River,Washington,46.3521,-123.6984,1840023929
Bothell,Washington,47.7736,-122.2044,1840018419
South Wenatchee,Washington,47.3886,-120.2829,1840037106
Snoqualmie Pass,Washington,47.4014,-121.4109,1840037862
Hartline,Washington,47.6895,-119.1081,1840021105
Lake Forest Park,Washington,47.7597,-122.2878,1840019837
Crocker,Washington,47.0843,-122.1225,1840041924
Elbe,Washington,46.7653,-122.1946,1840017364
Ravensdale,Washington,47.3563,-121.9692,1840018412
Arlington,Washington,48.1697,-122.1446,1840018378
McChord AFB,Washington,47.1328,-122.4924,1840073929
Lebam,Washington,46.5641,-123.5509,1840017376
